run_id,prompt_id,prompt_text,provider,model,latency_ms,input_tokens,output_tokens,repeat_num,coke_brands_found,competitor_brands_found,response_type,coke_is_primary_recommendation,citation_count,coke_citation_count
e0ed019f,p001,Best cold drink for summer in India,gemini,gemini-3-flash-preview,19066,110,780,1,[],[],list,0,4,0
e0ed019f,p001,Best cold drink for summer in India,gemini,gemini-3-flash-preview,20329,116,749,2,[],"[""peach_iced_tea""]",list,0,2,0
e0ed019f,p001,Best cold drink for summer in India,gemini,gemini-3-flash-preview,24759,160,938,3,[],"[""paper_boat""]",list,0,8,0
e0ed019f,p001,Best cold drink for summer in India,openai,gpt-5.2-chat-latest,12631,10364,730,1,[],[],list,0,5,0
e0ed019f,p001,Best cold drink for summer in India,openai,gpt-5.2-chat-latest,8609,4433,449,2,[],[],list,0,0,0
e0ed019f,p001,Best cold drink for summer in India,openai,gpt-5.2-chat-latest,13474,10415,763,3,"[""thums_up""]",[],list,0,4,0
e0ed019f,p001,Best cold drink for summer in India,perplexity,sonar,6310,8,660,1,[],[],list,0,7,0
e0ed019f,p001,Best cold drink for summer in India,perplexity,sonar,6549,8,366,2,[],[],list,0,8,0
e0ed019f,p001,Best cold drink for summer in India,perplexity,sonar,4200,8,513,3,[],[],list,0,8,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,gemini,gemini-3-flash-preview,14033,118,606,1,"[""coca_cola""]",[],narrative,0,8,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,gemini,gemini-3-flash-preview,12059,107,575,2,"[""coca_cola""]",[],direct_answer,0,6,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,gemini,gemini-3-flash-preview,13719,122,652,3,"[""coca_cola""]",[],narrative,0,11,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,openai,gpt-5.2-chat-latest,8968,10609,433,1,"[""coca_cola""]",[],direct_answer,0,3,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,openai,gpt-5.2-chat-latest,11636,10617,557,2,"[""coca_cola""]",[],narrative,0,3,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,openai,gpt-5.2-chat-latest,9509,10413,497,3,"[""coca_cola""]",[],narrative,0,4,0
e0ed019f,p002,What are the ingredients in Coca-Cola?,perplexity,sonar,2973,9,325,1,"[""coca_cola""]",[],narrative,0,7,2
e0ed019f,p002,What are the ingredients in Coca-Cola?,perplexity,sonar,4637,9,259,2,"[""coca_cola""]",[],narrative,0,8,3
e0ed019f,p002,What are the ingredients in Coca-Cola?,perplexity,sonar,3669,9,298,3,"[""coca_cola""]",[],narrative,0,8,2
